hour_of_the_year;hour_of_the_day;day;electricity_consumption
1849;1;78;0.29334125
1850;2;78;0.292059
1851;3;78;0.2939545
1852;4;78;0.2899385
1853;5;78;0.2889895
1854;6;78;0.292221
1855;7;78;0.94052575
1856;8;78;1.23207425
1857;9;78;0.620854
1858;10;78;0.49194925
1859;11;78;0.33035775
1860;12;78;0.28833975
1861;13;78;0.53632825
1862;14;78;0.571358
1863;15;78;0.50643525
1864;16;78;1.308235
1865;17;78;0.8690795
1866;18;78;1.21173225
1867;19;78;0.531525
1868;20;78;0.54077825
1869;21;78;0.631007
1870;22;78;0.561664
1871;23;78;0.5737945
1872;24;78;0.5103465
